id,Name,category,subCategory,cptCode,loincCode,snomedCode,description,notes,sourceSheet
"TTES-IMG-CT-71250","CT Scan Chest Without Contrast","Imaging Studies","Computed Tomography","71250","24699-2","363703009","CT of chest to evaluate lung and mediastinal pathology","imaging","CT SCAN"
"TTES-IMG-CT-71260a","CT Scan Chest With Contrast","Imaging Studies","Computed Tomography","71260a","24700-8","363683004","CT scan of chest with intravenous contrast to evaluate lung and mediastinal pathology","imaging","CT SCAN"
"TTES-IMG-CT-74150","CT Scan Abdomen Without Contrast","Imaging Studies","Computed Tomography","74150","24703-2","363702004","CT scan of abdomen to assess organ anatomy","imaging","CT SCAN"
"TTES-IMG-CT-74160b","CT Scan Abdomen With Contrast","Imaging Studies","Computed Tomography","74160b","24702-4","363694003","CT scan of abdomen with IV contrast to assess organs and vasculature","imaging","CT SCAN"
"TTES-IMG-CT-72191","CT Scan Pelvis Without Contrast","Imaging Studies","Computed Tomography","72191","24709-9","448851000000105","CT scan of pelvis to evaluate bone and soft tissue anatomy","imaging","CT SCAN"
"TTES-IMG-CT-72192","CT Scan Pelvis With Contrast","Imaging Studies","Computed Tomography","72192","24710-7","448861000000108","Enhanced CT pelvis for vascular or tumor assessment","imaging","CT SCAN"
"TTES-IMG-CTA-70491","CT Angiography Brain","Imaging Studies","Angiography","70491","24678-2","363728003","CT angiography of brain arteries for aneurysm or stroke assessment","imaging","CT ANGIO"
"TTES-IMG-CTA-72128","CT Angiography Cervical Spine","Imaging Studies","Angiography","72128","24715-6","363712008","CT angiography of cervical spine vessels","imaging","CT ANGIO"
"TTES-IMG-CTA-72134","CT Angiography Thoracic Spine","Imaging Studies","Angiography","72134","24717-2","363689000","CT angiography of thoracic spine vessels","imaging","CT ANGIO"
"TTES-IMG-CTA-72140","CT Angiography Lumbar Spine","Imaging Studies","Angiography","72140","24719-8","363693007","CT angiography of lumbar spine vessels","imaging","CT ANGIO"
"TTES-IMG-CTA-73402","CT Angiography Sacrococcygeal","Imaging Studies","Angiography","73402","78404-1","448871000000105","CT angiography of sacral vessels","imaging","CT ANGIO"
"TTES-IMG-CTA-71275","CT Angiography Chest","Imaging Studies","Angiography","71275","24701-6","363693007","CT angiography of chest to evaluate pulmonary embolism or aortic pathology","imaging","CT ANGIO"
"TTES-IMG-CTA-74150","CT Angiography Abdomen","Imaging Studies","Angiography","74150","24703-2","363702004","CT angiography of abdominal vessels to evaluate aneurysm or stenosis","imaging","CT ANGIO"
"TTES-IMG-CTA-73401","CT Angiography Pelvis","Imaging Studies","Angiography","73401","78404-2","363723001","CT urography to evaluate entire urinary tract","imaging","CT ANGIO"
"TTES-IMG-MRI-70551","MRI Brain Without Contrast","Imaging Studies","Magnetic Resonance Imaging","70551","24681-6","363685006","MRI of brain to detect tumors  infarcts demyelination etc.","imaging","MRI"
"TTES-IMG-MRI-70553","MRI Brain With Contrast","Imaging Studies","Magnetic Resonance Imaging","70553","24682-4","363712008","MRI of brain with contrast to enhance visualization of lesions","imaging","MRI"
"TTES-IMG-MRI-72146","MRI Cervical Spine Without Contrast","Imaging Studies","Magnetic Resonance Imaging","72146","24718-1","363684005","MRI of cervical spine to assess discs spinal cord and nerves","imaging","MRI"
"TTES-IMG-MRI-72147","MRI Cervical Spine With Contrast","Imaging Studies","Magnetic Resonance Imaging","72147","24719-0","363701006","MRI with contrast for enhanced soft tissue visualization","imaging","MRI"
"TTES-IMG-MRI-72156","MRI Thoracic Spine Without Contrast","Imaging Studies","Magnetic Resonance Imaging","72156","24720-7","363696001","MRI of thoracic spine to evaluate spinal cord and vertebrae","imaging","MRI"
"TTES-IMG-MRI-72157","MRI Thoracic Spine With Contrast","Imaging Studies","Magnetic Resonance Imaging","72157","24721-5","363707001","MRI with contrast for detailed thoracic spine assessment","imaging","MRI"
"TTES-IMG-MRI-72194","MRI Lumbar Spine Without Contrast","Imaging Studies","Magnetic Resonance Imaging","72194","24720-7","363696001","MRI of lumbar spine to assess disc disease nerve compression inflammation","imaging","MRI"
"TTES-IMG-MRI-72195","MRI Lumbar Spine With Contrast","Imaging Studies","Magnetic Resonance Imaging","72195","24721-5","363707001","Enhanced MRI for lumbar spine tumor or infection detection","imaging","MRI"
"TTES-IMG-MRI-72198","MRI Sacrococcygeal Without Contrast","Imaging Studies","Magnetic Resonance Imaging","72198","24722-3","363695002","MRI of sacrum and coccyx to evaluate pain or trauma","imaging","MRI"
"TTES-IMG-MRI-72199","MRI Sacrococcygeal With Contrast","Imaging Studies","Magnetic Resonance Imaging","72199","24723-1","363695002","MRI with contrast for inflammatory or neoplastic conditions","imaging","MRI"
"TTES-IMG-MRI-71550","MRI Chest Without Contrast","Imaging Studies","Magnetic Resonance Imaging","71550","24699-2","363703009","Non-routine but may be used for mediastinal or cardiac evaluation","imaging","MRI"
"TTES-IMG-MRI-71551","MRI Chest With Contrast","Imaging Studies","Magnetic Resonance Imaging","71551","24699-2","363703009","Enhanced MRI for chest wall or vascular anomalies","imaging","MRI"
"TTES-IMG-MRI-74180","MRI Abdomen Without Contrast","Imaging Studies","Magnetic Resonance Imaging","74180","24702-4","363694003","MRI of abdomen for soft tissue and organ evaluation","imaging","MRI"
"TTES-IMG-MRI-74181","MRI Abdomen With Contrast","Imaging Studies","Magnetic Resonance Imaging","74181","24702-4","363694003","Contrast-enhanced MRI abdomen for lesion characterization","imaging","MRI"
"TTES-IMG-MRI-72193a","MRI Pelvis Without Contrast","Imaging Studies","Magnetic Resonance Imaging","72193a","24719-0","363701006","MRI of pelvis to assess reproductive organs and pelvic floor","imaging","MRI"
"TTES-IMG-MRI-72193b","MRI Pelvis With Contrast","Imaging Studies","Magnetic Resonance Imaging","72193b","24719-0","363701006","Enhanced MRI pelvis for tumor or inflammatory disease","imaging","MRI"
"TTES-IMG-MRI-73221","MRI Shoulder Left With Contrast","Imaging Studies","Magnetic Resonance Imaging","73221","24724-9","363711003","MRI of shoulder to evaluate rotator cuff  labral tears and cartilage","imaging","MRI"
"TTES-IMG-MRI-73222","MRI Shoulder Right With Contrast","Imaging Studies","Magnetic Resonance Imaging","73222","24725-6","363712008","Same as left but for right shoulder joint","imaging","MRI"
"TTES-IMG-BMD-77080a","Bone Densitometry Whole Body","Imaging Studies","DEXA Scan","77080a","24706-5","363688001","Bone mineral density measurement to assess osteoporosis risk","imaging","DEXA"
"TTES-IMG-BMD-77080b","Bone Densitometry Spine","Imaging Studies","DEXA Scan","77080b","24706-5","363688001","Bone mineral density measurement of lumbar spine","imaging","DEXA"
"TTES-IMG-INT-75853a","Interventional Radiology Chest","Imaging Studies","Interventional Radiology","75853a","24701-6","363693007","Guided procedures such as biopsies or drainages in chest area","imaging","INTERVENTIONAL RADIOLOGY"
"TTES-IMG-INT-75853b","Interventional Radiology Abdomen","Imaging Studies","Interventional Radiology","75853b","24702-4","363694003","Guided procedures such as biopsies or drainages in abdominal area","imaging","INTERVENTIONAL RADIOLOGY"
"TTES-IMG-INT-75853c","Interventional Radiology Pelvis","Imaging Studies","Interventional Radiology","75853c","24709-9","363723001","Guided procedures such as biopsies or drainages in pelvic area","imaging","INTERVENTIONAL RADIOLOGY"
"TTES-IMG-INT-20610a","Interventional Radiology Shoulder Left With Contrast","Imaging Studies","Interventional Radiology","20610a","18853-4","363709006","Joint injections or aspirations guided by imaging","imaging","INTERVENTIONAL RADIOLOGY"
"TTES-IMG-INT-20610b","Interventional Radiology Shoulder Right With Contrast","Imaging Studies","Interventional Radiology","20610b","18853-4","363709006","Joint injections or aspirations guided by imaging","imaging","INTERVENTIONAL RADIOLOGY"
"TTES-IMG-INT-20610c","Interventional Radiology Shoulder Left Without Contrast","Imaging Studies","Interventional Radiology","20610c","18853-4","363709006","Joint injections or aspirations guided by imaging","imaging","INTERVENTIONAL RADIOLOGY"
"TTES-IMG-INT-20610d","Interventional Radiology Shoulder Right Without Contrast","Imaging Studies","Interventional Radiology","20610d","18853-4","363709006","Joint injections or aspirations guided by imaging","imaging","INTERVENTIONAL RADIOLOGY"
"TTES-IMG-FLU-76080a","Fluoroscopy Joint Shoulder Left With Contrast","Imaging Studies","Fluoroscopy","76080a","18853-4","363709006","Real-time imaging for guided joint procedures","imaging","FLUOROSCOPY"
"TTES-IMG-FLU-76080b","Fluoroscopy Joint Shoulder Right With Contrast","Imaging Studies","Fluoroscopy","76080b","18853-4","363709006","Real-time imaging for guided joint procedures","imaging","FLUOROSCOPY"
"TTES-IMG-FLU-76080c","Fluoroscopy Joint Shoulder Left Without Contrast","Imaging Studies","Fluoroscopy","76080c","18853-4","363709006","Real-time imaging for guided joint procedures","imaging","FLUOROSCOPY"
"TTES-IMG-FLU-76080d","Fluoroscopy Joint Shoulder Right Without Contrast","Imaging Studies","Fluoroscopy","76080d","18853-4","363709006","Real-time imaging for guided joint procedures","imaging","FLUOROSCOPY"
